Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area
2021/12/29,Wan Chai,Convention Plaza,28.3,2#/F Room 17,2,,17,1315
2021/12/29,Quarry Bay,Kornhill,9,BLOCK A 2#/F Room 7,2,BLOCK A,7,600
2021/12/29,Pok Fu Lam,Chi Fu Fa Yuen,7,BLOCK H-1 2#/F Room E,2,BLOCK H-1,E,518
2021/12/29,Sai Wan Ho,Grand Promenade,16.38,TOWER 2 2#/F Room B,2,TOWER 2,B,922
2021/12/29,Taikoo Shing,TaiKoo Shing,19,WISTERIA 1#/F Room C,1,WISTERIA,C,983
2021/12/29,Taikoo Shing,TaiKoo Shing,12.9,HENG TIEN 2#/F Room F,2,HENG TIEN,F,684
2021/12/29,Sai Wan Ho,Wing Hing Court,5.72,8/F Room C,8,,C,440
2021/12/29,Quarry Bay,WestLands Court,7.38,TSUI LAN MANSION 2#/F Room D,2,TSUI LAN MANSION,D,523
2021/12/29,Wong Chuk Hang,Marinella,30,TOWER 8 2#/F Room C,2,TOWER 8,C,1149
2021/12/29,Quarry Bay,Kornhill Garden,5.73,BLOCK 6 1#/F Room E,1,BLOCK 6,E,521
2021/12/29,Taikoo Shing,TaiKoo Shing,14.1,HOI SING 1#/F Room B,1,HOI SING,B,757
2021/12/29,Quarry Bay,Hoi Kwong Court,8.18,BLOCK II 2#/F Room B,2,BLOCK II,B,597
2021/12/29,South Horizons,South Horizons,13.98,TOWER 9 3#/F Room B,3,TOWER 9,B,918
2021/12/29,Wan Chai,Southorn Garden,10.5,3#/F Room 4,3,,4,790
2021/12/29,Ap Lei Chau,Coble Court,6.06,6/F Room B,6,,B,429
2021/12/29,North Point,Ming Fai Building,2,BLOCK B 2#/F Room 1,2,BLOCK B,1,339
2021/12/29,Heng Fa Chuen,Heng Fa Chuen,9.88,BLOCK 5 1#/F Room 2,1,BLOCK 5,2,732
2021/12/29,Happy Valley,Silverwood,9.15,1#/F Room B,1,,B,503
2021/12/29,Happy Valley,Silverwood,19.5,2#/F Room A,2,,A,1045
