Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area,x,y
29/12/2021,Wan Chai,Convention Plaza,28.3,2#/F Room 17,2,,17,1315,835776,815766
29/12/2021,Quarry Bay,Kornhill,9,BLOCK A 2#/F Room 7,2,BLOCK A,7,600,840074,815647
29/12/2021,Pok Fu Lam,Chi Fu Fa Yuen,7,BLOCK H-1 2#/F Room E,2,BLOCK H-1,E,518,832351,813222
29/12/2021,Sai Wan Ho,Grand Promenade,16.38,TOWER 2 2#/F Room B,2,TOWER 2,B,922,841163,816265
29/12/2021,Taikoo Shing,TaiKoo Shing,19,WISTERIA 1#/F Room C,1,WISTERIA,C,983,840715,816517
29/12/2021,Taikoo Shing,TaiKoo Shing,12.9,HENG TIEN 2#/F Room F,2,HENG TIEN,F,684,840506,816430
29/12/2021,Sai Wan Ho,Wing Hing Court,5.72,8/F Room C,8,,C,440,841110,815796
29/12/2021,Quarry Bay,WestLands Court,7.38,TSUI LAN MANSION 2#/F Room D,2,TSUI LAN MANSION,D,523,839955,816326
29/12/2021,Wong Chuk Hang,Marinella,30,TOWER 8 2#/F Room C,2,TOWER 8,C,1149,834956,811893
29/12/2021,Quarry Bay,Kornhill Garden,5.73,BLOCK 6 1#/F Room E,1,BLOCK 6,E,521,840354,816287
29/12/2021,Taikoo Shing,TaiKoo Shing,14.1,HOI SING 1#/F Room B,1,HOI SING,B,757,840689,816381
29/12/2021,Quarry Bay,Hoi Kwong Court,8.18,BLOCK II 2#/F Room B,2,BLOCK II,B,597,839790,816526
29/12/2021,South Horizons,South Horizons,13.98,TOWER 9 3#/F Room B,3,TOWER 9,B,918,833205,811583
29/12/2021,Wan Chai,Southorn Garden,10.5,3#/F Room 4,3,,4,790,835887,815374
29/12/2021,Ap Lei Chau,Coble Court,6.06,6/F Room B,6,,B,429,833954,811640
29/12/2021,North Point,Ming Fai Building,2,BLOCK B 2#/F Room 1,2,BLOCK B,1,339,838222,816967
29/12/2021,Heng Fa Chuen,Heng Fa Chuen,9.88,BLOCK 5 1#/F Room 2,1,BLOCK 5,2,732,842618,815406
29/12/2021,Happy Valley,Silverwood,9.15,1#/F Room B,1,,B,503,837154,815231
29/12/2021,Happy Valley,Silverwood,19.5,2#/F Room A,2,,A,1045,837154,815231
29/12/2021,Kennedy Town,Manhattan Heights,13.65,5#/F Room G,5,,G,699,822289,824811
29/12/2021,Ap Lei Chau,The Upper South,5.06,1#/F Room C,1,,C,183,835183.9,815413.2
29/12/2021,North Point,Harbour Heights,12.28,SUNG FUNG COURT 3#/F Room D,3,SUNG FUNG COURT,D,725,837747,816559
29/12/2021,Wan Chai,Kwong Sang Hong Building,4.8,BLOCK B 4/F Room G,4,BLOCK B,G,553,836335,815405
29/12/2021,Happy Valley,The Broadville,27.3,2#/F Room B,2,,B,1490,837117,815005
29/12/2021,Western mid-levels,Wellesley,33,6/F Room C,6,,C,1179,833729,815552
29/12/2021,Sai Wan Ho,Grand Promenade,10.4,TOWER 6 3#/F Room H,3,TOWER 6,H,688,841240,816232
29/12/2021,Fortress Hill,Hang Ying House,6.35,1#/F Room 3,1,,3,705,835536,819202
29/12/2021,North Point,Island Place,11,THREE ISLAND PLACE 3#/F Room C,3,THREE ISLAND PLACE,C,672,838930,816897
29/12/2021,Baguio Villa,Baguio Villa,29.5,BLOCK 32 2#/F,2,BLOCK 32,BLOCK 32 2#/F,1590,831672,813713
29/12/2021,Shek Tong Tsui,Mei Sun Lau,5.78,BLOCK B 1#/F Room A,1,BLOCK B,A,443,831829,816409
29/12/2021,Western mid-levels,Villa Serene,7.8,2#/F Room A,2,,A,541,833842,815863
